update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
18790,1.07,1.0577471256256104,[ -8.16801217   7.31512186 112.        ],"(-5, 3, 11)",[ 4  5 22 18],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
19111,1.05,1.0310735702514648,[ -7.14129862   8.39475867 108.        ],"(-4, 4, 10)",[ 4 21 23 18],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
19436,1.15,1.1289951801300049,[ -7.48381424   7.90705016 106.5       ],"(-4, 3, 10)",[20 19  4  8],"[[-10.    0.3]
 [-10.    0.3]
 [  0.    0.7]
 [  0.    0.7]]"
19769,1.04,1.0250561237335205,[ -8.19585996   8.15477492 108.5       ],"(-5, 4, 10)",[18 22  4 23],"[[-10.    0.3]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
20107,1.08,1.065290927886963,[ -7.64613552   8.11488754 112.        ],"(-4, 4, 11)",[ 8 21 29  1],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [ 10.    0.3]]"
20430,1.01,0.998161792755127,[ -7.63534224   7.55018313 109.5       ],"(-4, 3, 10)",[22 13 24 23],"[[-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
20759,0.98,0.962470531463623,[ -7.15236178   8.42007578 109.        ],"(-4, 4, 10)",[21 18  8 29],"[[-10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [  0.    0.7]]"
21097,1.04,1.028080701828003,[ -8.15315087   7.54463591 112.        ],"(-5, 3, 11)",[22 24 13  6],"[[-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [  0.    0.7]]"
21431,1.02,1.0024621486663818,[ -7.38262314   8.31307382 113.        ],"(-4, 4, 11)",[21  8 29 18],"[[-10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
21767,1.1,1.0848181247711182,[ -8.6339264    7.06021971 112.5       ],"(-5, 3, 11)",[22 13 24  1],"[[-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]]"
