update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
22751,1.83,1.251286268234253,[ -6.98754264  10.73765963 115.        ],"(-4, 5, 11)",[ 0 28  9  5],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.7]
 [  0.    0.3]]"
23077,1.64,1.2001874446868896,[ -6.20953104  11.05959848 109.5       ],"(-4, 5, 10)",[22  9 10  1],"[[ 10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
23406,1.72,1.1885311603546143,[ -7.220091    10.34163496 111.        ],"(-4, 5, 11)",[ 8  9 28 16],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [ 10.    0.3]]"
23736,1.77,1.3302586078643799,[ -6.74074838  10.87900427 109.5       ],"(-4, 5, 10)",[ 1  0  3 15],"[[-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [ 10.    0.3]]"
24065,1.63,1.0931217670440674,[ -6.68754519  10.26339279 108.5       ],"(-4, 5, 10)",[ 9 22 10 24],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [10.   0.7]]"
24394,1.79,1.3201122283935547,[ -6.72512784  10.65806252 109.        ],"(-4, 5, 10)",[ 1 29  3  9],"[[-10.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.7]]"
24722,1.75,1.1377770900726318,[ -7.6748837    9.39260915 108.5       ],"(-4, 4, 10)",[ 9  5 10 21],"[[ 0.   0.7]
 [ 0.   0.3]
 [ 0.   0.7]
 [10.   0.7]]"
25054,1.73,1.1834757328033447,[ -7.31888165  10.67997126 108.        ],"(-4, 5, 10)",[ 1 33  9 16],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.7]
 [ 10.    0.3]]"
25381,1.72,1.1231200695037842,[ -6.39424065  11.2022798  108.5       ],"(-4, 5, 10)",[ 8 22  9 28],"[[  0.    0.7]
 [ 10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
25716,1.63,1.209118366241455,[ -7.55213162  10.91096654 112.        ],"(-4, 5, 11)",[ 1  3 21  9],"[[-10.    0.3]
 [  0.    0.3]
 [ 10.    0.7]
 [  0.    0.7]]"
26048,1.79,1.2386384010314941,[ -7.67340528   9.56471279 112.        ],"(-4, 4, 11)",[ 0 10 22  2],"[[  0.    0.3]
 [  0.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
26377,1.74,1.3130385875701904,[ -6.82424827  10.36801807 110.5       ],"(-4, 5, 11)",[ 9  1 16  3],"[[  0.    0.7]
 [-10.    0.3]
 [ 10.    0.3]
 [  0.    0.3]]"
26705,1.76,1.2568778991699219,[ -7.16589788  10.01705379 109.5       ],"(-4, 5, 10)",[ 0 28 10  5],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.7]
 [  0.    0.3]]"
27037,1.71,1.2193067073822021,[ -7.22368295  11.09898863 111.5       ],"(-4, 5, 11)",[ 9  1  3 22],"[[  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [ 10.    0.7]]"
27366,1.94,1.1958491802215576,[ -7.89503994   9.71128962 109.5       ],"(-4, 4, 10)",[ 8  9 28  0],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]]"
27697,1.78,1.291102647781372,[ -7.7417442    9.86486676 109.5       ],"(-4, 4, 10)",[ 1  9  3 16],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.3]
 [ 10.    0.3]]"
28031,2.03,1.320591688156128,[ -6.83725387  10.69658071 112.        ],"(-4, 5, 11)",[ 0 10  2  5],"[[  0.    0.3]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]]"
28360,1.85,1.2708404064178467,[ -6.66225588   9.907967   110.        ],"(-4, 4, 11)",[ 9  1 16  3],"[[  0.    0.7]
 [-10.    0.3]
 [ 10.    0.3]
 [  0.    0.3]]"
28688,1.86,1.1788125038146973,[ -8.14650108   9.18633263 109.        ],"(-5, 4, 10)",[ 9  8  5 10],"[[0.  0.7]
 [0.  0.7]
 [0.  0.3]
 [0.  0.7]]"
29017,1.84,1.3183987140655518,[ -7.15381078  10.24926046 110.        ],"(-4, 5, 11)",[ 1  3 15 29],"[[-10.    0.3]
 [  0.    0.3]
 [ 10.    0.3]
 [-10.    0.3]]"
29342,1.78,1.1475932598114014,[ -7.80264526   9.55444034 108.5       ],"(-4, 4, 10)",[ 9 22  8  0],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]]"
29674,1.68,1.2410595417022705,[ -7.67473675  10.17468588 108.        ],"(-4, 5, 10)",[ 1  9  3 15],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.3]
 [ 10.    0.3]]"
30010,1.65,1.197995662689209,[ -8.35615474   8.92647825 112.5       ],"(-5, 4, 11)",[ 0  8 28 10],"[[  0.    0.3]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
30341,1.8,1.2529006004333496,[ -8.23738928   9.83932584 111.5       ],"(-5, 4, 11)",[ 9 21  1 16],"[[  0.    0.7]
 [ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.3]]"
30668,1.79,1.1989121437072754,[ -7.72137895   9.38976791 107.        ],"(-4, 4, 10)",[10  5  8  0],"[[0.  0.7]
 [0.  0.3]
 [0.  0.7]
 [0.  0.3]]"
