update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
23670,2.21,1.3303155899047852,[-10.1501074    5.47715566 138.5       ],"(-6, 2, 13)",[26  1 32 33],"[[-10.    0.7]
 [  0.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
24104,2.27,1.4297001361846924,[ -9.99171049   4.95033838 143.        ],"(-5, 2, 14)",[32 22  1 24],"[[  0.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
24525,2.23,1.3523099422454834,[-10.11938904   6.25106299 141.5       ],"(-6, 3, 14)",[ 5 10 19 12],"[[ 0.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.3]]"
24953,2.14,1.323432445526123,[-10.44742104   5.45056235 143.        ],"(-6, 2, 14)",[22 26  1 24],"[[  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
25342,2.15,1.3041646480560303,[-10.28391376   5.41211847 126.        ],"(-6, 2, 12)",[35 33  5  1],"[[0.  0.3]
 [0.  0.3]
 [0.  0.7]
 [0.  0.3]]"
25770,2.35,1.450636863708496,[ -9.7066471    3.54502736 144.5       ],"(-5, 1, 14)",[32 22 15 24],"[[  0.    0.3]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]]"
26191,2.33,1.3893556594848633,[-11.04681918   4.24319568 139.5       ],"(-6, 2, 13)",[35 18 33 10],"[[ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [10.   0.3]]"
26620,2.32,1.364563226699829,[-10.74925127   4.72641018 143.        ],"(-6, 2, 14)",[32 22 24 26],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
27029,2.4,1.4706330299377441,[-10.26206797   3.76249964 134.5       ],"(-6, 1, 13)",[31 35 19 33],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
27453,2.28,1.3983418941497803,[ -9.29851307   5.07012878 137.5       ],"(-5, 2, 13)",[32 24 34  7],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.7]]"
27879,2.31,1.3774504661560059,[ -9.58379735   4.97112622 143.        ],"(-5, 2, 14)",[35 31 33 18],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
28302,2.33,1.4122519493103027,[-10.4732658    5.81451493 141.5       ],"(-6, 2, 14)",[32 34 24 15],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [ 10.    0.7]]"
28731,2.21,1.3306424617767334,[ -9.86113685   5.84411405 143.        ],"(-5, 2, 14)",[35 18 19 33],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.3]]"
29142,2.31,1.3405845165252686,[ -9.318541     5.56093948 138.        ],"(-5, 2, 13)",[32 15 22  4],"[[  0.    0.3]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]]"
29558,2.16,1.2893507480621338,[ -8.28170559   7.20599086 140.5       ],"(-5, 3, 14)",[18 19 24 14],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
29981,2.43,1.4212517738342285,[ -9.73618297   5.26303044 138.5       ],"(-5, 2, 13)",[10 32 26 31],"[[ 10.    0.3]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
30408,2.37,1.385075569152832,[-10.47280498   5.54521093 143.5       ],"(-6, 2, 14)",[35 25 33 24],"[[  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
