update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
26191,1.85,1.1192107200622559,[-14.98337686  -1.08704079 143.        ],"(-8, -1, 14)",[ 6 27  0 16],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]]"
26613,1.94,1.2000830173492432,[-13.53142373   0.42366565 141.        ],"(-7, 0, 14)",[20 13  7  1],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
27040,1.91,1.142280101776123,[-14.36661157  -0.78580557 141.5       ],"(-8, -1, 14)",[ 0  6 17 18],"[[ 0.   0.3]
 [ 0.   0.7]
 [10.   0.7]
 [10.   0.7]]"
27455,1.94,1.1929566860198975,[-13.77533714  -0.42273323 137.5       ],"(-7, -1, 13)",[20 13  7  2],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [ 10.    0.3]]"
27868,1.95,1.146498441696167,[-13.47010556  -0.50251868 136.5       ],"(-7, -1, 13)",[12  6 16 29],"[[  0.    0.3]
 [  0.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
28295,1.98,1.2109384536743164,[-12.87741512   0.60319576 140.        ],"(-7, 0, 14)",[13 20  7 22],"[[  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
28713,1.97,1.1460659503936768,[-12.46633264   1.42099735 140.5       ],"(-7, 0, 14)",[17 18  6  0],"[[10.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]]"
29135,1.92,1.2122557163238525,[-13.67355273   0.41234689 141.5       ],"(-7, 0, 14)",[20 13 24  7],"[[ 10.    0.7]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
29552,1.93,1.162846326828003,[-13.52245777   0.15076563 141.5       ],"(-7, 0, 14)",[27 12 17 14],"[[-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]]"
29964,1.95,1.1661837100982666,[-1.36604616e+01  1.15140644e-01  1.38500000e+02],"(-7, 0, 13)",[20 13 24  7],"[[ 10.    0.7]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
30389,1.83,1.0683987140655518,[-1.32756725e+01 -3.14047722e-02  1.40500000e+02],"(-7, -1, 14)",[ 6 16 18 17],"[[ 0.   0.7]
 [10.   0.7]
 [10.   0.7]
 [10.   0.7]]"
30812,2.08,1.2667429447174072,[-12.89582171   1.01177023 139.        ],"(-7, 0, 13)",[20  0 30 12],"[[10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
