update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
27030,1.27,1.254096269607544,[-12.41438911   3.79634018 111.        ],"(-7, 1, 11)",[11 14 18  1],"[[-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]]"
27358,1.13,1.1149497032165527,[-11.71234595   5.06939486 109.        ],"(-6, 2, 10)",[16  0 30 19],"[[10.   0.7]
 [ 0.   0.3]
 [ 0.   0.7]
 [10.   0.7]]"
27688,1.25,1.2380521297454834,[-12.3977246    4.87224663 109.5       ],"(-7, 2, 10)",[11 14  1 18],"[[-10.    0.3]
 [ 10.    0.3]
 [  0.    0.3]
 [ 10.    0.7]]"
28018,1.21,1.1940875053405762,[-12.56057686   2.86606754 110.5       ],"(-7, 1, 11)",[16  0 25 27],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
28350,1.23,1.2150092124938965,[-11.3773049    4.03319077 110.5       ],"(-6, 2, 11)",[11 17 18 14],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]]"
28680,1.24,1.2252371311187744,[-12.60793841   4.06773066 111.5       ],"(-7, 2, 11)",[16  0 22 25],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [-10.    0.3]]"
29009,1.26,1.2439236640930176,[-11.20199873   4.812818   112.        ],"(-6, 2, 11)",[11 18 24 14],"[[-10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.3]]"
29345,1.16,1.1460611820220947,[-12.74474818   4.4397227  110.5       ],"(-7, 2, 11)",[31  0 16 25],"[[  0.    0.7]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]]"
29678,1.2,1.1855425834655762,[-12.75603498   3.52815411 112.        ],"(-7, 1, 11)",[11 17 18 14],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]]"
30011,1.19,1.177819013595581,[-12.91048288   2.52002511 113.5       ],"(-7, 1, 11)",[31 27 16  0],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]]"
30325,1.24,1.2233481407165527,[-11.74387076   2.1585204  106.5       ],"(-6, 1, 10)",[11 17 14  1],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]
 [  0.    0.3]]"
30660,1.17,1.1527674198150635,[-12.15451673   2.94695696 110.        ],"(-7, 1, 11)",[31  0 16 25],"[[  0.    0.7]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]]"
