update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
7235,1.28,1.2674708366394043,[ -9.82614712   8.05249572 141.5       ],"(-5, 4, 14)",[13 17 14 21],"[[  0.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]
 [-10.    0.3]]"
7646,1.19,1.1718542575836182,[-10.43739299   6.74378719 138.        ],"(-6, 3, 13)",[20  0  7  2],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
8080,1.32,1.3047945499420166,[-10.58660476   6.60168481 150.        ],"(-6, 3, 15)",[13 28 22 17],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [ 10.    0.7]]"
8499,1.31,1.2955446243286133,[-10.19022392   7.52755799 137.5       ],"(-6, 3, 13)",[20  0 22 13],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
8920,1.31,1.2921583652496338,[-11.12010527   5.80204552 144.        ],"(-6, 2, 14)",[17 13 22 14],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [ 10.    0.3]]"
9346,1.27,1.2493274211883545,[ -9.77024091   7.8752386  145.5       ],"(-5, 3, 14)",[20  0  7 13],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
9759,1.29,1.2686975002288818,[-10.86055556   6.44291249 141.5       ],"(-6, 3, 14)",[22  3 17  0],"[[-10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]]"
10171,1.22,1.2053859233856201,[ -9.64856706   8.48905867 135.        ],"(-5, 4, 13)",[20  0  7 12],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [ 10.    0.3]]"
10605,1.34,1.3271710872650146,[-10.12096712   8.16972403 143.        ],"(-6, 4, 14)",[22 17 28 14],"[[-10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]
 [  0.    0.3]]"
11016,1.29,1.2756109237670898,[-10.17288375   7.0849166  134.        ],"(-6, 3, 13)",[20  0 22 12],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [ 10.    0.3]]"
11437,1.31,1.2975733280181885,[-10.20874217   7.36748093 141.        ],"(-6, 3, 14)",[17 28 14  7],"[[ 10.    0.7]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
11859,1.31,1.2936522960662842,[-10.57470539   6.90863322 139.5       ],"(-6, 3, 13)",[20 22  0 12],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [ 10.    0.3]]"
12289,1.35,1.3351905345916748,[-11.02098802   6.50879411 141.        ],"(-6, 3, 14)",[17 22  1 11],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [ 10.    0.3]]"
12716,1.26,1.2436418533325195,[-11.35232211   6.47051544 142.        ],"(-6, 3, 14)",[ 7  0 20 12],"[[-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]]"
13119,1.35,1.334700345993042,[-10.64399223   6.95374718 136.        ],"(-6, 3, 13)",[22 17 14 28],"[[-10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]
 [  0.    0.3]]"
13555,1.26,1.2471530437469482,[-10.40008576   7.79955014 146.        ],"(-6, 3, 14)",[20  0  7 12],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [ 10.    0.3]]"
13946,1.3,1.2856519222259521,[-10.64326024   6.91585589 121.5       ],"(-6, 3, 12)",[22 17 30  1],"[[-10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]
 [  0.    0.3]]"
14371,1.44,1.424368143081665,[ -9.8919554    7.61974201 148.5       ],"(-5, 3, 14)",[14 22 30 28],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
14808,1.31,1.2955052852630615,[-10.21642819   7.80404117 147.        ],"(-6, 3, 14)",[30 14  0 20],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
15225,1.31,1.295382022857666,[-10.04745124   7.20998592 136.        ],"(-6, 3, 13)",[14 17 22 30],"[[  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [  0.    0.3]]"
15653,1.33,1.316962718963623,[-10.22928896   7.53379959 144.5       ],"(-6, 3, 14)",[30 14 20  0],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
16046,1.35,1.3381826877593994,[ -8.97006861   9.04922259 131.        ],"(-5, 4, 13)",[14 22 17  3],"[[  0.    0.3]
 [-10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]]"
16483,1.37,1.3546142578125,[ -9.59146327   8.18291262 146.        ],"(-5, 4, 14)",[14  3 22 30],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
16919,1.39,1.3749327659606934,[ -9.89696104   7.88790475 143.        ],"(-5, 3, 14)",[28 14 29 17],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
17319,1.27,1.2567098140716553,[-10.48063999   5.8009588  138.        ],"(-6, 2, 13)",[20  3 30  0],"[[10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
17743,1.25,1.236997365951538,[ -8.92986713   8.66768894 143.        ],"(-5, 4, 14)",[17  8 23 28],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
18164,1.24,1.2247607707977295,[-11.70539912   5.51488367 145.5       ],"(-6, 2, 14)",[20 30  3  7],"[[ 10.    0.7]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
18590,1.26,1.2383739948272705,[-10.32124979   7.12800316 144.        ],"(-6, 3, 14)",[28 17  8 23],"[[  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
19016,1.36,1.343949317932129,[-12.29902221   4.64858259 144.        ],"(-7, 2, 14)",[ 3 20 30 13],"[[ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]]"
